team,opponent,team_elo,opp_elo,win_probability,strength_diff
France,Norway,2062,1914,0.7,148
Iraq,Senegal,1618,1867,0.19,-249
Spain,Uruguay,2155,1892,0.82,263
Algeria,Austria,1760,1830,0.4,-70
Argentina,Jordan,2114,1680,0.92,434
Colombia,Portugal,1982,1986,0.49,-4
Croatia,Ghana,1911,1510,0.91,401
DR Congo,Uzbekistan,1661,1718,0.42,-57
England,Panama,2021,1730,0.84,291
South Korea,Czechia,1758,1740,0.47,18
South Africa,Mexico,1528,1875,0.9299999999999999,-347
Bosnia and Herzegovina,Canada,1595,1788,0.84,-193
Paraguay,United States,1833,1726,0.49,107
Turkey,Australia,1911,1777,0.31999999999999995,134
Morocco,Brazil,1827,1991,0.72,-164
Scotland,Haiti,1782,1548,0.20999999999999996,234
Switzerland,Qatar,1891,1421,0.06000000000000005,470
Germany,Curaçao,1932,1434,0.050000000000000044,498
Ivory Coast,Ecuador,1695,1938,0.8,-243
Netherlands,Japan,1944,1906,0.44999999999999996,38
Tunisia,Sweden,1628,1712,0.62,-84
Egypt,Belgium,1696,1893,0.76,-197
Spain,Cape Verde,2155,1578,0.030000000000000027,577
New Zealand,Iran,1562,1772,0.77,-210
Uruguay,Saudi Arabia,1892,1569,0.13,323
Argentina,Algeria,2114,1760,0.12,354
Jordan,Austria,1680,1830,0.7,-150
Senegal,France,1867,2062,0.75,-195
Norway,Iraq,1914,1618,0.15000000000000002,296
Uzbekistan,Colombia,1718,1982,0.8200000000000001,-264
England,Croatia,2021,1911,0.35,110
Portugal,DR Congo,1986,1661,0.13,325
Panama,Ghana,1730,1510,0.21999999999999997,220
Switzerland,Bosnia and Herzegovina,1891,1595,0.15000000000000002,296
Qatar,Canada,1421,1788,0.94,-367
South Africa,Czechia,1528,1740,0.77,-212
South Korea,Mexico,1758,1875,0.78,-117
Haiti,Brazil,1548,1991,0.9299999999999999,-443
Scotland,Morocco,1782,1827,0.56,-45
Turkey,Paraguay,1911,1833,0.39,78
Australia,United States,1777,1726,0.5700000000000001,51
Ecuador,Curaçao,1938,1434,0.050000000000000044,504
Ivory Coast,Germany,1695,1932,0.8,-237
Tunisia,Japan,1628,1906,0.83,-278
Sweden,Netherlands,1712,1944,0.79,-232
Iran,Belgium,1772,1893,0.6699999999999999,-121
Uruguay,Cape Verde,1892,1578,0.14,314
New Zealand,Egypt,1562,1696,0.6799999999999999,-134
Spain,Saudi Arabia,2155,1569,0.030000000000000027,586
Jordan,Algeria,1680,1760,0.61,-80
Austria,Argentina,1830,2114,0.84,-284
Iraq,France,1618,2062,0.9299999999999999,-444
Senegal,Norway,1867,1914,0.5700000000000001,-47
DR Congo,Colombia,1661,1982,0.86,-321
Panama,Croatia,1730,1911,0.74,-181
Ghana,England,1510,2021,0.95,-511
Uzbekistan,Portugal,1718,1986,0.8200000000000001,-268
Qatar,Bosnia and Herzegovina,1421,1595,0.73,-174
Scotland,Brazil,1782,1991,0.77,-209
Switzerland,Canada,1891,1788,0.5,103
Morocco,Haiti,1827,1548,0.17000000000000004,279
Czechia,Mexico,1740,1875,0.79,-135
South Korea,South Africa,1758,1528,0.20999999999999996,230
Paraguay,Australia,1833,1777,0.42000000000000004,56
Ivory Coast,Curaçao,1695,1434,0.18000000000000005,261
Germany,Ecuador,1932,1938,0.51,-6
Sweden,Japan,1712,1906,0.75,-194
Tunisia,Netherlands,1628,1944,0.86,-316
Turkey,United States,1911,1726,0.38,185
New Zealand,Belgium,1562,1893,0.87,-331
Saudi Arabia,Cape Verde,1569,1578,0.51,-9
Iran,Egypt,1772,1696,0.39,76
Norway,France,1914,2062,0.7,-148
Senegal,Iraq,1867,1618,0.18999999999999995,249
Uruguay,Spain,1892,2155,0.8200000000000001,-263
Austria,Algeria,1830,1760,0.4,70
Jordan,Argentina,1680,2114,0.92,-434
Portugal,Colombia,1986,1982,0.49,4
Ghana,Croatia,1510,1911,0.91,-401
Uzbekistan,DR Congo,1718,1661,0.42000000000000004,57
Panama,England,1730,2021,0.84,-291
